sentenceID,clabel,cprob,consequent,gold_consequent,alabel,aprob,antecedent,gold_antecedent
200019,1,100,"couldn't have gotten through war, through depression","we couldn't have gotten through war, through depression",1,10,had given up to the cynics,If our ancestors had given up to the cynics
200020,1,100,would have used to pay these contractors,the money they would have used to pay these contractors,1,100,had the shutdown not happened,had the shutdown not happened
200021,1,100,"could have been phrased more ""smoothly",{},0,25,his comment,"his comment could have been phrased more ""smoothly"""
200022,0,25,would have said you are crazy,they would have said you are crazy,1,100,you told someone that energy independence,if you told someone that energy independence would be conceivable by 2020
200023,1,75,would have finished the year in,it would have finished the year in positive territory,1,30,had surged to nearly 80 points,if not for an autumn collapse that mimicked 1929's
200024,1,100,would have said more at the State of the Union,{},1,100,wish he,I wish he would have said more at the State of the Union
200025,1,100,would have followed with,the Polish bikers retraced the route,0,25,the Night Wolves back to Warsaw,they would have followed with the Night Wolves back to Warsaw
200026,1,100,would have known that accepting the plea agreement would certainly lead to deportation,Lee would have known that accepting the plea agreement would certainly lead to deportation,0,0,,But for his attorney's incompetence
200027,1,100,could have been prevented should there have been more supervision from the parents while their children were in,Many of the burns could have been prevented,0,25,were in the kitchen,should there have been more supervision from the parents while their children were in the kitchen
200028,1,100,would have definitely fallen victim to negative thinking and developed distortions about my worth as a person because of acne skin issues,I imagine I would have definitely fallen victim to negative thinking and developed distortions about my worth as a person because of acne skin issues,1,100,I didn't have the option of makeup (concealer) I imagine I,If I didn't have the option of makeup (concealer)
200029,1,100,would have fallen further still if she,the cost would have fallen further still,1,10,had foregone insurance,if she had foregone insurance and printed off a savings coupon from the website GoodRx
200030,1,100,would be more recognisable as the rather garden-variety Republican that he is: t,"he would be more recognisable as the rather garden-variety Republican that he is: that is, in favour of small government and individual rights when it suits him",1,75,were Ron Paul the car salesman rather than Ron Paul the almost-libertarian presidential candidate,"provided that his name were Rand Smith, or his father were Ron Paul the car salesman rather than Ron Paul the almost-libertarian presidential candidate"
200031,1,100,could have saved Holmes's uncle,{},1,100,any of the tests offered by Theranos,if any of the tests offered by Theranos could have saved Holmes's uncle
200032,1,100,could have followed if the east,hundreds of thousands more could have followed,1,10,had fallen,if the east had fallen
200033,1,100,would be mildly surprising if he,it would be mildly surprising,1,10,had avoided this one,if he had avoided this one
200034,1,100,"could imagine him blundering along, leaping from one talk show to another spouting inflammatory rhetoric that would only upset allies and swell the ranks of jihadist training camps","one could imagine him blundering along, leaping from one talk show to another spouting inflammatory rhetoric that would only upset allies and swell the ranks of jihadist training camps",1,10,had been president this week,If he had been president this week
200035,1,100,would have been hospitals in,the alternative would have been hospitals in Idaho Falls or Pocatello,1,10,had closed,If Lost Rivers had closed
200036,1,100,"would have been better off should there have been a failure of more banks,",They would have been better,1,75,"should there have been a failure of more banks, even a giant bank or two","should there have been a failure of more banks, even a giant bank or two"
200037,0,25,ould say: I,{},1,10,hadn't happened,I wish it hadn't happened
200038,1,100,would have said,{},1,10,had already said what I,they had already said what I would have said
200039,1,100,would have had to stop performing abortions in,he would have had to stop performing abortions in his two office locations,1,10,had been upheld,if the Texas law had been upheld
200040,1,100,would have done many of the things Keyes is doing,I would have done many of the things Keyes is doing,0,25,you had given me the keys to the Blockbuster kingdom in the spring and told me to fix what was wrong with it,If you had given me the keys to the Blockbuster kingdom in the spring and told me to fix what was wrong with it
200041,1,100,would have more than doubled from Â£200 m last year to Â£420 m next year,the cost of the fund would have more than doubled from Â£200m last year to Â£420m next year,1,30,"was essential because, without action, the cost of the fund",without action
200042,1,10,could have been killed,many innocent bystanders could have been killed,1,100,"the case of Mr Al-Libi, who was grabbed by Delta Force commandos as he returned to his home in a Tripoli suburb after morning prayers",a drone strike would have been unthinkable
200043,1,100,would go for a jog if we,far more people would go for a jog,0,25,we hadn't all heard the horror stories about the chronic injuries that plague runners,if we hadn't all heard the horror stories about the chronic injuries that plague runners
200044,1,100,might have,"Crowley might have kept his job, or at least found a softer landing",1,100,"kept his job, or at least found a softer landing, had President Obama not been asked about his comment 18 hours later at a news conference and voiced full support of the Pentagon",had President Obama not been asked about his comment 18 hours later at a news conference and voiced full support of the Pentagon
200045,1,100,couldn't have sent a better message than if,They couldn't have sent a better message,0,25,they'd all extended their middle finger,if they'd all extended their middle finger
200046,1,100,would have,"By opting into the plea agreement then violating it, Manafort ensured he'll receive a harsher sentence than he would have",1,100,had he simply pleaded guilty,had he simply pleaded guilty
200047,1,100,would have been better simply to buy and hold stocks,{},1,20,had become cheap,it would have been better simply to buy and hold stocks
200048,1,100,"would have lost power in the state, which shares a border with","the centre-left coalition would have lost power in the state, which shares a border with Denmark",1,75,"If another 745 citizens (of 1.5m) had voted for the opposition in Schleswig-Holstein on February 20th, the centre-left coalition",If another 745 citizens (of 1.5m) had voted for the opposition in Schleswig-Holstein on February 20th
200049,1,100,"would have been impossible, he argued, to maintain the deep integration of the single market without","It would have been impossible, he argued, to maintain the deep integration of the single market",1,100,the single currency,without the single currency
200050,1,100,would've won,he would've won,1,75,had he had two more weeks he,had he had two more weeks
200051,1,20,would have been drawn to my attention,that would have been drawn to my attention,1,10,had been so material as to be noteworthy,if they had been so material as to be noteworthy
200052,1,10,What would have happened if Obama,"It would have prevented any recovery, throwing the U.S",1,10,had adopted austerity as Berlin imposed austerity on the European periphery,if Obama had adopted austerity as Berlin imposed austerity on the European periphery
200053,1,100,would have long ago,we would have long ago achieved the dream of universal access to decent care,1,100,achieved the dream of universal access to decent care had liberals let go of their dream of big government's supervisory role and paid more attention to the likes of Messrs Hayek and Friedmen when they talked about about how to get this sort of thing done,had liberals let go of their dream of big government's supervisory role
200054,1,10,wouldn't have been doomsday,"""it wouldn't have been doomsday but it could have created the potential for higher borrowing costs."" The ruling also prevented a massive revaluation of the market",1,10,had gone the other way,"""When we issue these bonds it's to provide a public service."" He added that if the court had gone the other way"
200055,1,100,would lose my shit,I think I would lose my shit,1,75,I were you,If I were you
200056,1,100,might not have happened,This rape might not have happened,1,100,had police quickly processed evidence from the sexual assault exam -,"had police quickly processed evidence from the sexual assault exam - or ""rape kit""- from another Tumwater rape the previous summer"
200057,1,100,would have been laughed out of town,he would have been laughed out of town,0,25,Obama had asked for a second stimulus directly,If Obama had asked for a second stimulus directly
200058,1,100,could have stayed on his wife's policy for a time while going through his divorce,it would have cost $300 a month,1,75,"it would have cost $300 a month."" That's a car payment",He could have stayed on his wife's policy for a time while going through his divorce
200059,1,100,would have increased 7%,would have increased 7,1,100,had it not been for foreign-currency exchange,had it not been for foreign-currency exchange
200060,1,10,could get her point across without,it probably wouldn't have gone better for her,0,25,stooping to Kavanaugh-level hysterics,if she'd pitched a tantrum
200061,1,100,should have been better prepared with,{},1,75,should have been better prepared with foods that her daughter,She should have been better prepared with foods that her daughter would eat
200062,1,100,would have been caught before it,his wife's cancer would have been caught before it was too late,1,20,had health insurance,if Soptic had still had health insurance
200063,1,100,would have been if Britain had been able to maintain its pre-crisis growth rate -,productivity was 17 percent below where it would have been,1,40,had been able to maintain its pre-crisis growth rate -,if Britain had been able to maintain its pre-crisis growth rate
200064,1,100,would imagine that would have itself been noted-on tax and trade policies in,one would imagine that would have itself been noted-on tax and trade policies in particular,0,25,Dobbs was wedging his second job as Secretary of What Televisionland Thinks into commercial breaks,if Dobbs was wedging his second job as Secretary of What Televisionland Thinks into commercial breaks
200065,1,100,wouldn't have bought any euro zone debt,we wouldn't have bought any euro zone debt,0,25,it was down to the Bundesbank then we,If it was down to the Bundesbank
200066,1,100,could have people wondering whether more of her ad budget,the contrast between Senator Obama's online ad spending and that of Clinton's could have people wondering whether more of her ad budget should have been spent online,1,10,should have been spent online,If political races are won by the biggest ad spenders
200067,1,100,would not have started with,{},0,25,the Europeans,I would not have started with NAFTA and I would not have started with the Europeans
200068,1,75,might have said the same thing if I,I might have said the same thing,0,25,I had not seen the tongue jut,if I had not seen the tongue jut
200069,1,100,would have been no point to assert that none,there would have been no point to assert that none was expected if indeed none was expected,0,25,was expected if indeed none was expected,If we had shown insufficient gratitude
200070,1,100,could have,that could have had a significant effect on cost,1,30,had been able to get some bipartisanship around it,if we had been able to get some bipartisanship around it
200071,1,100,would have never happened,maybe this tragedy would have never happened,0,25,we had known (what the problem was),If we had known (what the problem was)
200072,1,100,would've seen from shore yesterday along the Ohio River in,this is what you would've seen from shore yesterday along the Ohio River in Cincinnati: the U.S.S,1,20,had been a naval battle,If it had been a naval battle
200073,1,100,would have remained on the back burner of American discourse,abolition would have remained on the back burner of American discourse,1,20,"had their way (with no ""values"" discussion allowed to interfere with government, and no ""legislating of morality"")","if Jefferson and Jackson had had their way (with no ""values"" discussion allowed to interfere with government, and no ""legislating of morality"")"
200074,0,0,,I can build more trust,0,25,I didn't make a mistake in the first place,if I didn't make a mistake in the first place
200075,1,100,would have been president if they had faced the same (largely lily-white) electorate as Ronald Reagan did in,"Both Mr Romney and John McCain, the partys nominee in 2008, would have been president",0,25,they had faced the same (largely lily-white) electorate as Ronald Reagan did in 1980,"if they had faced the same (largely lily-white) electorate as Ronald Reagan did in 1980, says Whit Ayres, a Republican pollster"
200076,1,100,would have preferred an external hire to mark a bigger change,He had been seen as the leading internal candidate to succeed Diamond,0,25,"had been seen as the leading internal candidate to succeed Diamond, although some investors had questioned his lack of investment banking experience and",although some investors had questioned his lack of investment banking experience and would have preferred an external hire to mark a bigger change
200077,1,100,"they didn't teach me about breast-feeding,"" said Ms. Redmond, of Snellville, Ga., who is now 24, ""It was discouraging to struggle with what I thought",{},1,50,wish they had at least told me what to expect and what was normal,and I wish they had at least told me what to expect and what was normal
200078,1,100,"wouldn't be here apologizing to Eric, Tim, and Rick","I wouldn't be here apologizing to Eric, Tim, and Rick",1,10,had done their job right,If these guys had done their job right
200079,1,100,could have been resolved earlier,{},1,75,had allowed pride to get in the way of his judgment,the dispute could have been resolved earlier
200080,1,100,'d have won,{},1,100,Wish I,Wish I'd have won
200081,1,100,"should have sold it two years ago, at the top of the market",you should have sold it two years ago,1,75,"should have sold it two years ago, at the top of the market",If you were going to sell it
200082,1,100,"would have pushed out Francisco GonzaÌlez, BBVA's recently retired chairman",{},0,25,had hired Grupo Cenyt in 2004 to investigate executives from the construction firm Sacyr Vallehermoso in order to head off a takeover bid by the company that,BBVA had hired Grupo Cenyt in 2004 to investigate executives from the construction firm Sacyr Vallehermoso in order to head off a takeover bid by the company that would have pushed out Francisco GonzaÌlez
200083,1,100,would have been a stronger endorsement of the schedule,there would have been a stronger endorsement of the schedule,1,10,was there,I had hoped was
200084,1,100,might be little more than a legal curiosity were it not for the fact that the opposition Conservative Party in,Such antics might be little more than a legal curiosity,1,30,were it not for the fact that the opposition Conservative Party in Britain has said it,"were it not for the fact that the opposition Conservative Party in Britain has said it would, once in office, call a referendum on Lisbon if the treaty has not been ratified by all 27 EU members"
200085,1,100,that would have been inconsistent with,he'd have had an easier time building enthusiasm for his position,1,20,had been that the sequester,if President Obama's position had been that the sequester should be replaced entirely with tax hikes on the wealthy
200086,1,100,would still be pressing to hold eBay's board accountable if the company,which leads to the question of whether Icahn would still be pressing to hold eBay's board accountable,1,10,had accepted his 20% spin-off proposal,if the company had accepted his 20% spin-off proposal
200087,0,25,could have told Bibi that he would move the embassy but only in return for Israel halting all settlement-building beyond the West Bank blocks in the densely populated Arab areas that would likely be put under Palestinian control in,Trump could have told Bibi that he would move the embassy,0,25,return for Israel halting all settlement-building beyond the West Bank blocks in the densely populated Arab areas that would likely be put under Palestinian control in any peace deal,but only in return for Israel halting all settlement-building beyond the West Bank blocks in the densely populated Arab areas that would likely be put under Palestinian control in any peace deal
200088,1,100,could have done a better job running the Thomas confirmation hearings resulting from his inability,{},1,100,determining who that is,he could have done a better job running the Thomas confirmation hearings resulting from his inability
200089,1,100,would be eating cat food or going completely hungry part of each month,People who would be eating cat food or going completely hungry part of each month,1,100,People who,were it not for the food stamp program Romney and Ryan want to gut
200090,1,100,may have questions about your unemployment benefits that need answers,you may have questions about your unemployment benefits that need answers,1,100,you're newly unemployed or have been unemployed for a while,If you're newly unemployed or have been unemployed for a while
200091,1,100,'d tell him to turn the heat up on his own party,"I'd tell him to turn the heat up on his own party even more, creating some distance politically and hopefully wounding their pride enough that they get it together",1,75,I were his political advisor,If I were his political advisor
200092,1,100,would have,these competitors would have had a difficult time gaining any traction,1,10,had a huge moat,If Schwab truly had a huge moat
200093,1,100,could have been corrected without,this could have been corrected,1,100,this really seismic assault on the Cyprus economy,without this really seismic assault on the Cyprus economy
200094,1,100,should have been filed,{},1,40,should have been filed,if a gift tax return should have been filed
200095,1,100,could have done some real good,he could have done some real good,0,25,he were only more like the pragmatic problem-solver he claims to be,if he were only more like the pragmatic problem-solver he claims to be
200096,1,10,would have,they would have had little to fear from the special counsel,0,25,Had Mr. Trump and his coterie done nothing wrong,Had Mr. Trump and his coterie done nothing wrong
200097,1,100,"would have been a threadbare 2.4%, and just 5.5% even in","Deutsches ratio would have been a threadbare 2.4%, and just 5.5% even in mid-2012",1,75,Had the latest regulations been in place in 2009,Had the latest regulations been in place in 2009
200098,1,100,wouldn't have seen a sharp decline in the share of the electorate who voted for Obama in,you wouldn't have seen a sharp decline in the share of the electorate who voted for Obama in 2008,1,20,had happened,if that had happened
200099,1,100,I doubt they would have bid so low if,I doubt they would have bid so low,0,25,they didn't think they could make a profit on the deal,if they didn't think they could make a profit on the deal
200100,1,100,would cease worldwide,the entire practice would cease worldwide,1,100,only students knew how easy this stuff is to spot,if only students knew how easy this stuff is to spot
200101,1,10,the chancellor then wrecked any chance it had of being effective with,{},1,100,the 'light touch' approach to regulation,"New Labour's creation of the Financial Services Authority ""could have worked well"""
200102,0,25,try considering how employees' wage negotiations with,try considering how employees' wage negotiations with the government might look,0,25,there were no public-sector unions,if there were no public-sector unions
200103,1,10,could have stepped in to absorb GMAC's entire loan portfolio,no single competitor or group of competitors could have stepped in to absorb GMAC's entire loan portfolio,1,100,Had Treasury allowed GMAC to fail,Had Treasury allowed GMAC to fail
200104,1,100,would have made sense if Joe,it would have made sense,1,20,"had become a runner, depending only on himself for victory","if Joe had become a runner, depending only on himself for victory"
200105,1,100,may still be better off than they would be if New Jersey,those people may still be better off than they would be,1,10,had never created it,if New Jersey had never created it
200106,1,100,should have seen ¡ ­,{},1,100,should have seen ¡ ­,Because they should have seen
200107,1,100,"might have been keen on income, if not for knowing that guaranteeing a long-term sustainable income from equities without",He might have been keen on income,1,75,not for knowing that guaranteeing a long-term sustainable income from equities without being hugely diversified was a tricky business,without being hugely diversified was a tricky business
200108,1,100,would have immediately,they would have immediately had their clearances pulled,1,10,had their clearances pulled,they would have immediately had their clearances pulled
200109,1,100,'d have been lucky to find out,you'd have been lucky to find out,1,100,you happened to be a FOX News viewer,If you happened to be a FOX News viewer
200110,1,100,would have been genuinely surprised,"At the time, we would have been genuinely surprised",1,100,had Blum managed to pull off another win,had Blum managed to pull off another win
200111,1,100,couldn't finish this task,we couldn't finish this task,1,100,your help,Without your help
200112,1,100,would not have reacted with,fans likely would not have reacted with such outrage,1,10,had been,had the season progressed all along as it had been
200113,1,100,should have been,prudent about cost control,1,10,should have been,we should have been
200114,1,100,would probably be a lot more of one if,it would probably be a lot more of one,1,40,hadn't written its own rules for dealing with allegations in secret,if Congress hadn't written its own rules for dealing with allegations in secret
200115,1,100,"'s very likely that it would have prevented the election of Republican Gov. Paul LePage, as left-leaning voters split between liberal independent Eliot Cutler and Democrat Libby Mitchell","it would have prevented the election of Republican Gov. Paul LePage, as left-leaning voters split between liberal independent Eliot Cutler and Democrat Libby Mitchell",1,75,Had this system been in place in 2010,Had this system been in place in 2010
200116,1,75,would the response been the same? I doubt it.,would the response been the same,0,25,this had been a group of boys,If this had been a group of boys
200117,1,100,investigations take time,{},1,10,had gone more rapidly,I wish we had gone more rapidly
200118,1,10,could have honestly talked about their early lives,we could understand better why they have their struggles,1,100,only they,If only they could have honestly talked about their early lives
200119,1,10,would,I would,1,100,I,If I could make exercise into a pill
200120,1,100,"would have been unimaginable ten years ago, when the peace deal on Bosnia-Hercegovina was agreed on at an air base in",{},0,25,"the peace deal on Bosnia-Hercegovina was agreed on at an air base in Dayton, Ohio, on November 21st 1995, ending a war between Serbs, Croats and Muslims (known as Bosniaks), in which Serbia and Croatia had sought to carve up Bosnia",It would have been unimaginable ten years ago
200121,1,100,would have won the election if 52 percent of white women voters,Clinton won the majority of the popular vote in 2016 and would have won the election,0,25,52 percent of white women voters had not voted against her-and effectively for patriarchy-which does complexify the issue,if 52 percent of white women voters had not voted against her-and effectively for patriarchy-which does complexify the issue
200122,1,100,could have done more,I was having so much fun,1,10,wish I,I wish I could have done more
200123,1,100,would have,"Washington's city government would have had to pull down the shutters as well, since it is merely an appendage of Congress, financially speaking",1,10,Had the federal government shut down,Had the federal government shut down
200124,1,100,would have realised few losses if its trades had not been unwound in,AIG would have realised few losses,1,20,had not been unwound in the bail-out,if its trades had not been unwound in the bail-out
200125,1,100,would have said Abercrombie is the strongest,I would have said Abercrombie is the strongest,1,100,were it not for the exposure to Europe and the need to potentially lower prices there over the next few months given shopper reactions,were it not for the exposure to Europe and the need to potentially lower prices there over the next few months given shopper reactions
200126,1,100,would have been forced to accept everyone regardless of their state of healthbut free riders could easily avoid paying into the system until they fell sick,free riders could easily avoid paying into the system until they fell sick,1,75,would have been promised universal coverage,Americans would have been promised universal coverage and insurers would have been forced to accept everyone regardless of their state of health
200127,1,100,would have become of the Glossers,I shudder at the thought of what would have become of the Glossers,1,75,Had Mr. Trump's immigration policies been in effect at the time,"Had Mr. Trump's immigration policies been in effect at the time, Mr. Miller's uncle writes in the article"
200128,1,100,"would not exist, since houses and vines would otherwise compete for the same south-facing hillsides","Oregons booming wine industry would not exist, since houses and vines would otherwise compete for the same south-facing hillsides",1,75,Had sprawl not been kept in check,Had sprawl not been kept in check
200129,0,25,could have been a year or more behind,it looked like the best Sarepta could do was to launch at the same time as drisapersen,1,10,had passed its phase 3,If drisapersen had passed its phase 3
200130,0,25,could explain that to the American public,I know the people would go for it,0,25,we had strong leadership who,if we had strong leadership who could explain that to the American public
200131,1,100,would have paid if you,You can thumb your nose at Uncle Sam for the $225 in taxes that you would have paid,1,20,had you actually sold the stock and donated the cash,if you had you actually sold the stock and donated the cash
200132,1,10,would have been against the government's wishes,it would have been against the government's wishes,1,10,had kept Opel,If GM had kept Opel
200133,1,100,would have been the Rev.,{},0,25,"were solemn, spirited and reflected the fraught nature of what",what would have been the Rev
200134,1,100,"would have developed completely new surveys to calculate inflation, but to save time opted to adapt spending surveys from 2004/05",{},0,25,Todesca,"Ideally, Todesca said, Indec would have developed completely new surveys to calculate inflation"
200135,1,100,might be in,he might be in a better position today,1,10,a better position,"Had Matteo Renzi, a keen student of American politics, paid more attention to the slogan invented for Bill Clintons successful presidential campaign in 1992"
200136,1,100,would have been approximately 480 basis points higher if tobacco and the estimated associated basket sales,front store same-store sales would have been approximately 480 basis points higher,0,25,tobacco and the estimated associated basket sales were excluded from the three months ended Sept.,if tobacco and the estimated associated basket sales were excluded from the three months ended Sept
200137,1,100,'d be mocking him for weeks,we'd be mocking him for weeks,0,25,Bush had said that Roe was decided in the 80s,if Bush had said that Roe was decided in the 80s
200138,1,100,could have had if you,That's real money you could have had,1,30,had if you had known your teaser rate,if you had known your teaser rate would be extended
200139,1,100,would have taken action to stop it,the world would have taken action to stop it,1,100,the Nazis started to persecute Catholics,if the Nazis started to persecute Catholics
200140,1,100,might have never surfaced,it appears that the information about what Cambridge had done might have never surfaced,1,20,had done,were it not for a whistleblower who revealed the behind-the-scenes actions
200141,1,100,would have voted for Gary Johnson,they would have voted for Gary Johnson,1,100,republicans truly cared about what they say they care about,If republicans truly cared about what they say they care about
200142,0,0,,{},1,100,wish they felt so serene,Many Americans wish they felt so serene
200143,1,100,would have stopped,"Each was receiving Social Security survivors benefits, checks that would have stopped",1,10,had they remarried,had they remarried
200144,1,100,would have done something too,Twitter would have done something too,0,25,had posted to Twitter the same content that led YouTube and Facebook to take action against Jones and InfoWars,if far-right conspiracy theorist Alex Jones and his fringe media organization InfoWars had posted to Twitter the same content that led YouTube and Facebook to take action against Jones and InfoWars
200145,0,0,,{},1,10,hadn't have done it,"I wish he hadn't have done it, and I just say it's kind of appalling"
200146,1,100,should have made all the art public much sooner so that victims of the Nazis or their descendants could have a look,{},1,100,should have made all the art public much sooner so that victims of the Nazis or their descendants could have a look,The prosecutor should have made all the art public much sooner
200147,1,100,he would not have voted for the Obama health-care bill because of the unsound economic principles behind it,{},1,100,were right to curb some questionable practices by health-insurance companies,he would not have voted for the Obama health-care bill
200148,1,100,would not have been the case,that would not have been the case,1,100,Had we faced a Kennedy or a Clinton that,Had we faced a Kennedy or a Clinton
200149,1,100,would have found almost as many references to her in,I would have found almost as many references to her in set 3 as to Brianna's mother,0,25,Had I known to include the name Janie along with the family words category,Had I known to include the name Janie along with the family words category
200150,1,100,would exist,None of us would exist,1,100,"were it not for this fundamental, scientific reality","were it not for this fundamental, scientific reality"
200151,1,100,would have covered 40 percent of the global economy in,{},0,25,"was thrown into disarray and cancelled when Donald Trump withdrew the U.S. in one of his first acts as president, leaving the remaining 11 countries scrambling to keep the deal alive","The pact, which would have covered 40 percent of the global economy"
200152,1,100,"would have conquered Saudi Arabia"" and the whole Middle East","Iran ""would have conquered Saudi Arabia"" and the whole Middle East",1,75,had he not been elected in 2016,had he not been elected in 2016
200153,1,100,"would have viewed this as a validation that they're on the right track, and Brussels will have continued to grow the EU regulatory state","the EU would have viewed this as a validation that they're on the right track, and Brussels will have continued to grow the EU regulatory state",1,10,had won,If Remain had won
200154,1,100,would take away their leverage to resist policy riders and deep spending cuts Republicans want,that would take away their leverage to resist policy riders and deep spending cuts Republicans want,1,75,could have given ground and accepted the bill the House passed last night,"Democrats could have given ground and accepted the bill the House passed last night, but that would take away their leverage to resist policy riders and deep spending cuts Republicans want"
200155,1,10,could have uncovered,{},0,25,were heavily redacted,his team likely could have uncovered even more cases
200156,1,100,would have voted for a Memorial Day opening as well,I probably would have voted for a Memorial Day opening as well,0,25,I were at DreamWorks Animation,if I were at DreamWorks Animation
200157,1,100,would certainly be worried about suffering from heart disease,I would have five risk factors and I would certainly be worried about suffering from heart disease,1,30,"In their shoes, if I was a smoker or a recent smoker with blood pressure higher than 140/90, doing very little physical activity, and with a BMI more than 30 and a poor diet I","if I was a smoker or a recent smoker with blood pressure higher than 140/90, doing very little physical activity, and with a BMI more than 30 and a poor diet"
200158,1,100,would have,"GHS would have had to ""go out and search the market, be reviewing various proposals and vetting companies,""",0,25,"had to ""go out and search the market, be reviewing various proposals and vetting companies",Without being involved in a cohort
200159,1,100,would have opposed it,would have opposed it,1,10,had he been,had he been
200160,1,100,"would limit this risk going forward."" GEITHNER ON BRIEFING REGULATORS ON LIBOR IN",you would limit this risk going forward,1,20,had been adopted sooner,If those had been adopted sooner
200161,1,100,could have been prevented with,more than a third of those unwanted and potentially dangerous side effects could have been prevented,1,100,better prescribing practices and doctor-patient communication,with better prescribing practices and doctor-patient communication
200162,1,10,could have exited by June 30,{},1,100,a letter to investors,About 75 percent of the fund's investors would have been eligible to leave on March 31
200163,1,100,"would make sure he did his best to control all of his heart disease risks, like cholesterol and blood pressure, and that he","he would make sure he did his best to control all of his heart disease risks, like cholesterol and blood pressure, and that he had a healthy diet and exercised",1,10,had CHIP,if he had CHIP
200164,1,100,"would have been difficult to stamp out, given her prominence at the time and given how small the corps was",it would have been difficult to stamp out,0,25,Had the accusation ever been shared with members of the Air Force's Judge Advocate General's Corps -,Had the accusation ever been shared with members of the Air Force's Judge Advocate General's Corps
200165,1,100,wouldn't have life,you wouldn't have life,1,10,wasn't for them,if it wasn't for them
200166,1,100,'d have waited for Democrats to line up in,he'd have waited for Democrats to line up,1,10,were brighter,if Walden were brighter
200167,1,100,would have been an all-share merger,that would have been an all-share merger,0,25,letting the co-operation,letting the co-operation make it then
200168,1,100,could have started trying for a baby earlier if she,She had a lot of anger because her situation was such that she could have started trying for a baby earlier,1,10,had known,if she had known
200169,1,100,could have confounded the results,that could have confounded the results,1,10,had been admitted anywhere for treatment during the 12-month follow-up,if someone had been admitted anywhere for treatment during the 12-month follow-up
200170,1,10,would have been so damaged as to crash,"it's unlikely that the plane would have been so damaged as to crash, but almost certain that there would have been deaths in the passenger cabin",1,75,Had he been successful in setting off the explosion,Had he been successful in setting off the explosion
200171,1,100,would have reported it,he would have reported it,0,25,"he had suspected anything ""untoward","if he had suspected anything ""untoward"""
